uniqid,lat,long,Address,Street number,Street,City,State,Country,Zip,Address components,timestamp
1,51.0498,13.7397,"Wilsdruffer Str. 19-21, 01067 Dresden, Germany",19-21,Wilsdruffer Straße,Dresden,Sachsen,Germany,1067,"19-21, Wilsdruffer Straße, Innere Altstadt, Altstadt, Dresden, Dresden, Sachsen, Germany, 01067",4/11/18 11:08
2,27.3897,-82.5061,"8494 45th St E, Sarasota, FL 34243, USA",8494,45th Street East,Sarasota,Florida,United States,34243,"8494, 45th Street East, Sarasota, Manatee County, Florida, United States, 34243, 2920",1/29/18 12:17
3,27.9081,-81.8429,"1470 N Broadway Ave, Bartow, FL 33830, USA",1470,North Broadway Avenue,Bartow,Florida,United States,33830,"1470, North Broadway Avenue, Bartow, Polk County, Florida, United States, 33830, 3310",1/27/18 14:54
4,27.3717,-82.5315,"4301 N Washington Blvd, Sarasota, FL 34234, USA",4301,North Washington Boulevard,Sarasota,Florida,United States,34234,"4301, North Washington Boulevard, Sarasota, Sarasota County, Florida, United States, 34234, 4801",1/25/18 20:35
5,27.1077,-82.4385,"480 US-41, Venice, FL 34285, USA",480,U.S. 41,Venice,Florida,United States,34285,"480, U.S. 41, Venice, Sarasota County, Florida, United States, 34285, 6074",1/22/18 1:06
6,27.9727,-82.8291,"325 S Gulfview Blvd, Clearwater, FL 33767, USA",325,South Gulfview Boulevard,Clearwater,Florida,United States,33767,"325, South Gulfview Boulevard, Clearwater Beach, Clearwater, Pinellas County, Florida, United States, 33767, 2445",1/18/18 14:48
7,38.9469,-90.1902,"5511 Godfrey Rd, Godfrey, IL 62035, USA",5511,Godfrey Road,Godfrey,Illinois,United States,62035,"5511, Godfrey Road, Godfrey, Godfrey Township, Madison County, Illinois, United States, 62035",1/18/18 13:38
8,39.0032,-93.7342,"6676 MO-13, Higginsville, MO 64037, USA",6676,Missouri 13,Higginsville,Missouri,United States,64037,"6676, Missouri 13, Higginsville, Davis Township, Lafayette County, Missouri, United States, 64037",1/13/18 22:58
9,28.1549,-81.8018,"1799-1821 FL-559, Polk City, FL 33868, USA",1799-1821,Florida 559,Polk City,Florida,United States,33868,"1799-1821, Florida 559, Polk City, Polk County, Florida, United States, 33868",1/13/18 5:32
10,43.1285,-89.3588,"2901 Dryden Dr, Madison, WI 53704, USA",2901,Dryden Drive,Madison,Wisconsin,United States,53704,"2901, Dryden Drive, Sherman, Madison, Dane County, Wisconsin, United States, 53704, 3009",1/4/18 20:11
11,43.1254,-89.3244,"3709 Kinsman Blvd, Madison, WI 53704, USA",3709,Kinsman Boulevard,Madison,Wisconsin,United States,53704,"3709, Kinsman Boulevard, Reindahl Park, Madison, Dane County, Wisconsin, United States, 53704, 2608",1/3/18 18:36
12,28.0341,-82.0555,"5325 Frontage Rd S, Lakeland, FL 33815, USA",5325,Frontage Road South,Lakeland,Florida,United States,33815,"5325, Frontage Road South, Lakeland, Polk County, Florida, United States, 33815, 0902",1/1/18 16:24
13,28.019,-82.7586,"1645 Main St, Dunedin, FL 34698, USA",1645,Main Street,Dunedin,Florida,United States,34698,"1645, Main Street, Dunedin, Pinellas County, Florida, United States, 34698, 4775",12/31/17 13:46
14,43.1254,-89.3244,"3709 Kinsman Blvd, Madison, WI 53704, USA",3709,Kinsman Boulevard,Madison,Wisconsin,United States,53704,"3709, Kinsman Boulevard, Reindahl Park, Madison, Dane County, Wisconsin, United States, 53704, 2608",12/27/17 20:37
15,35.4032,-119.401,"20601-27799 Willow Dr, Buttonwillow, CA 93206, USA",20601-27799,Willow Drive,Buttonwillow,California,United States,93206,"20601-27799, Willow Drive, Buttonwillow, Kern County, California, United States, 93206",12/26/17 12:25
16,27.8399,-82.7628,"7480 Starkey Rd, Seminole, FL 33777, USA",7480,Starkey Road,Seminole,Florida,United States,33777,"7480, Starkey Road, Seminole, Pinellas County, Florida, United States, 33777",12/25/17 12:00
17,27.8718,-82.5069,"6505 S Dale Mabry Hwy, Tampa, FL 33611, USA",6505,South Dale Mabry Highway,Tampa,Florida,United States,33611,"6505, South Dale Mabry Highway, South Tampa, Tampa, Hillsborough County, Florida, United States, 33611, 5105",12/24/17 10:58
18,28.3478,-82.1869,"13026 US-301, Dade City, FL 33525, USA",13026,U.S. 301,Dade City,Florida,United States,33525,"13026, U.S. 301, Countryside Square, Dade City, Pasco County, Florida, United States, 33525, 5419",12/24/17 0:44
19,27.7387,-82.7487,"6855 Gulf Blvd, St Pete Beach, FL 33706, USA",6855,Gulf Boulevard,Saint Pete Beach,Florida,United States,33706,"6855, Gulf Boulevard, Saint Pete Beach, Pinellas County, Florida, United States, 33706, 2027",12/22/17 14:02
20,43.4725,-89.7684,"372-388 W Pine St, Baraboo, WI 53913, USA",372-388,West Pine Street,Baraboo,Wisconsin,United States,53913,"372-388, West Pine Street, Baraboo, Sauk County, Wisconsin, United States, 53913",12/18/17 14:18
21,27.8557,-82.3261,"9870 US-301, Riverview, FL 33578, USA",9870,U.S. 301,Riverview,Florida,United States,33578,"9870, U.S. 301, Riverview, Hillsborough County, Florida, United States, 33578, 5809",12/17/17 16:17
22,26.934,-82.2259,"6618 Coliseum Blvd, Port Charlotte, FL 33981, USA",6618,Coliseum Boulevard,Port Charlotte,Florida,United States,33981,"6618, Coliseum Boulevard, Gardens of Gulf Cove, Port Charlotte, Charlotte County, Florida, United States, 33981",12/16/17 12:52
23,28.08,-82.7386,"33817 US Hwy 19 N, Palm Harbor, FL 34684, USA",33817,US Highway 19 North,Palm Harbor,Florida,United States,34684,"33817, US Highway 19 North, Palm Harbor, Pinellas County, Florida, United States, 34684, 2641",12/16/17 6:57
24,28.055,-82.4501,"920 E Fowler Ave, Tampa, FL 33612, USA",920,East Fowler Avenue,Tampa,Florida,United States,33612,"920, East Fowler Avenue, Tampa, Hillsborough County, Florida, United States, 33612, 5832",12/15/17 11:01
25,27.1056,-82.3853,"325 Commercial Ct, Venice, FL 34292, USA",325,Commercial Court,Venice,Florida,United States,34292,"325, Commercial Court, Venice, Sarasota County, Florida, United States, 34292, 1649",12/14/17 13:26
26,27.8718,-82.5069,"6505 S Dale Mabry Hwy, Tampa, FL 33611, USA",6505,South Dale Mabry Highway,Tampa,Florida,United States,33611,"6505, South Dale Mabry Highway, South Tampa, Tampa, Hillsborough County, Florida, United States, 33611, 5105",12/13/17 18:30
27,28.0105,-82.7085,"2465-2469 McMullen Booth Rd, Safety Harbor, FL 34695, USA",2465-2469,McMullen Booth Road,Safety Harbor,Florida,United States,34695,"2465-2469, McMullen Booth Road, Safety Harbor, Pinellas County, Florida, United States, 34695",12/13/17 14:24
28,28.2361,-82.7286,"5309 US-19, New Port Richey, FL 34652, USA",5309,U.S. 19,New Port Richey,Florida,United States,34652,"5309, U.S. 19, New Port Richey, Pasco County, Florida, United States, 34652, 3969",12/13/17 10:48
29,27.9158,-82.7264,"2675 Roosevelt Blvd, Clearwater, FL 33760, USA",2675,Roosevelt Boulevard,Clearwater,Florida,United States,33760,"2675, Roosevelt Boulevard, Clearwater, Pinellas County, Florida, United States, 33760, 2512",12/13/17 10:23
30,37.9692,-87.4938,"4701 Lincoln Ave, Evansville, IN 47714, USA",4701,Lincoln Avenue,Evansville,Indiana,United States,47714,"4701, Lincoln Avenue, Evansville, Knight Township, Vanderburgh County, Indiana, United States, 47714, 0659",12/12/17 8:46
31,27.8639,-82.7283,"10191 66th St N, Pinellas Park, FL 33782, USA",10191,66th Street North,Pinellas Park,Florida,United States,33782,"10191, 66th Street North, Pinellas Park, Pinellas County, Florida, United States, 33782, 3016",12/11/17 22:37
32,38.5375,-90.4943,"2109 Smizer Station Rd, Valley Park, MO 63088, USA",2109,Smizer Station Road,Valley Park,Missouri,United States,63088,"2109, Smizer Station Road, Valley Park, Meramec Township, St. Louis County, Missouri, United States, 63088, 2200",12/11/17 20:06
33,27.9598,-82.7871,"539 S Missouri Ave, Clearwater, FL 33756, USA",539,South Missouri Avenue,Clearwater,Florida,United States,33756,"539, South Missouri Avenue, Clearwater, Pinellas County, Florida, United States, 33756, 5940",12/11/17 16:17
34,33.9605,-118.274,"8567-8599 S Main St, Los Angeles, CA 90003, USA",8567-8599,South Main Street,Los Angeles,California,United States,90003,"8567-8599, South Main Street, South Los Angeles, Los Angeles, Los Angeles County, California, United States, 90003",12/11/17 16:08
35,28.1422,-82.7411,"40728 US Hwy 19 N, Tarpon Springs, FL 34689, USA",40728,US Highway 19 North,Tarpon Springs,Florida,United States,34689,"40728, US Highway 19 North, Tarpon Springs, Pinellas County, Florida, United States, 34689, 4727",12/11/17 12:32
36,38.5947,-90.4923,"14026 Manchester Rd, Manchester, MO 63011, USA",14026,Manchester Road,Manchester,Missouri,United States,63011,"14026, Manchester Road, Manchester, Queeny Township, St. Louis County, Missouri, United States, 63011, 4514",12/9/17 13:49
37,32.3119,-81.0545,"574 Independence Blvd, Hardeeville, SC 29927, USA",574,Independence Boulevard,Hardeeville,South Carolina,United States,29927,"574, Independence Boulevard, Hardeeville, Jasper County, South Carolina, United States, 29927",12/8/17 13:31
38,39.3665,-101.056,"2000 S Range Ave, Colby, KS 67701, USA",2000,South Range Avenue,Colby,Kansas,United States,67701,"2000, South Range Avenue, Colby, Thomas County, Kansas, United States, 67701",12/6/17 20:30
39,34.8823,-85.2711,"12769 US-27, Chickamauga, GA 30707, USA",12769,U.S. 27,Chickamauga,Georgia,United States,30707,"12769, U.S. 27, Chickamauga, Walker County, Georgia, United States, 30707, 1790",12/6/17 7:13
40,30.3917,-91.1613,"355 W Lee Dr, Baton Rouge, LA 70820, USA",355,West Lee Drive,Baton Rouge,Louisiana,United States,70820,"355, West Lee Drive, Highlands/Perkins, Baton Rouge, East Baton Rouge Parish, Louisiana, United States, 70820",12/5/17 13:04
41,33.4653,-117.69,"34277 CA-1, Dana Point, CA 92629, USA",34277,California 1,Dana Point,California,United States,92629,"34277, California 1, Dana Point, Orange County, California, United States, 92629, 2823",12/4/17 22:54
42,21.4478,-158.189,"85-770 Farrington Hwy, Waianae, HI 96792, USA",85-770,Farrington Highway,Waianae,Hawaii,United States,96792,"85-770, Farrington Highway, Waianae, Honolulu County, Hawaii, United States, 96792",12/4/17 18:27
43,26.1913,-98.1318,"1417 E Frontage Rd, Alamo, TX 78516, USA",1417,East Frontage Road,Alamo,Texas,United States,78516,"1417, East Frontage Road, Alamo, Hidalgo County, Texas, United States, 78516",12/4/17 16:36
44,33.7404,-116.216,"42550 Jackson St, Indio, CA 92203, USA",42550,Jackson Street,Indio,California,United States,92203,"42550, Jackson Street, Indio, Riverside County, California, United States, 92203",12/4/17 13:06
45,21.3489,-157.93,"4727 Bougainville Dr, Honolulu, HI 96818, USA",4727,Bougainville Drive,Honolulu,Hawaii,United States,96818,"4727, Bougainville Drive, Naval Station Pearl Harbor, Honolulu, Honolulu County, Hawaii, United States, 96818",12/2/17 15:58
46,27.8376,-80.4857,"13395 US-1, Sebastian, FL 32958, USA",13395,U.S. Highway 1,Sebastian,Florida,United States,32958,"13395, U.S. Highway 1, Sebastian, Indian River County, Florida, United States, 32958, 3753",12/2/17 13:08
47,34.4939,-85.336,"11240 US-27, Summerville, GA 30747, USA",11240,U.S. 27,Summerville,Georgia,United States,30747,"11240, U.S. 27, Summerville, Chattooga County, Georgia, United States, 30747",12/2/17 12:17
48,34.2352,-119.175,"281-283 Riverpark Blvd, Oxnard, CA 93036, USA",281-283,Riverpark Boulevard,Oxnard,California,United States,93036,"281-283, Riverpark Boulevard, Oxnard, Ventura County, California, United States, 93036",12/1/17 21:05
49,21.3398,-158.077,"91 Farrington Hwy, Kapolei, HI 96707, USA",91,Farrington Highway,Kapolei,Hawaii,United States,96707,"91, Farrington Highway, Kapolei, Honolulu County, Hawaii, United States, 96707",12/1/17 19:14
50,32.911,-80.6686,"727 N Jefferies Blvd, Walterboro, SC 29488, USA",727,North Jefferies Boulevard,Walterboro,South Carolina,United States,29488,"727, North Jefferies Boulevard, Walterboro, Colleton County, South Carolina, United States, 29488, 2721",12/1/17 10:20
51,34.3968,-119.512,"Casitas Pass Rd & El Camino Real & US-101, Carpinteria, CA 93013, USA",,Casitas Pass Road,Carpinteria,California,United States,93013,"Casitas Pass Road, Carpinteria, Santa Barbara County, California, United States, 93013",11/30/17 12:35
52,30.4164,-91.1421,"4615 Perkins Rd, Baton Rouge, LA 70808, USA",4615,Perkins Road,Baton Rouge,Louisiana,United States,70808,"4615, Perkins Road, Highlands/Perkins, Baton Rouge, 12, East Baton Rouge Parish, Louisiana, United States, 70808, 3038",11/29/17 22:02
53,34.4463,-83.1197,"13786 Jones St, Lavonia, GA 30553, USA",13786,Jones Street,Lavonia,Georgia,United States,30553,"13786, Jones Street, Lavonia, Franklin County, Georgia, United States, 30553",11/29/17 19:56
54,34.0335,-117.319,"22257 Barton Rd, Grand Terrace, CA 92313, USA",22257,Barton Road,Grand Terrace,California,United States,92313,"22257, Barton Road, Grand Terrace, San Bernardino County, California, United States, 92313",11/29/17 17:48
55,34.8912,-116.999,"1611 E Main St, Barstow, CA 92311, USA",1611,East Main Street,Barstow,California,United States,92311,"1611, East Main Street, Barstow, San Bernardino County, California, United States, 92311, 3239",11/29/17 16:49
56,40.8931,-83.8705,"500 OH-103, Bluffton, OH 45817, USA",500,Ohio 103,Bluffton,Ohio,United States,45817,"500, Ohio 103, Bluffton, Orange Township, Hancock County, Ohio, United States, 45817, 9620",11/29/17 12:36
57,35.7882,-78.6492,"615 N Boylan Ave, Raleigh, NC 27603, USA",615,North Boylan Avenue,Raleigh,North Carolina,United States,27603,"615, North Boylan Avenue, Raleigh, Raleigh, Wake County, North Carolina, United States, 27603",11/29/17 11:56
58,34.8854,-82.354,"2119-2125 US-29, Greenville, SC 29615, USA",2119-2125,Wade Hampton Boulevard,Greenville,South Carolina,United States,29615,"2119-2125, Wade Hampton Boulevard, Greenville, Greenville County, South Carolina, United States, 29615",11/29/17 11:05
59,29.7498,-95.7989,"25647 Westheimer Pkwy, Katy, TX 77494, USA",25647,Westheimer Parkway,Katy,Texas,United States,77494,"25647, Westheimer Parkway, Katy, Fort Bend County, Texas, United States, 77494",11/28/17 21:47
60,34.1456,-118.123,"1-37 S Holliston Ave, Pasadena, CA 91106, USA",Jan-37,South Holliston Avenue,Pasadena,California,United States,91106,"1-37, South Holliston Avenue, Pasadena, Los Angeles County, California, United States, 91106",11/28/17 21:09
