Zip/ZCTA,2010 Population,Land-Sq-Mi,Density Per Sq Mile
20052,470,0.003,156666.6667
20390,584,0.004,146000
10028,45141,0.313,144220.4473
10075,26121,0.184,141961.9565
10162,1685,0.012,140416.6667
10128,60453,0.465,130006.4516
10025,94600,0.752,125797.8723
10023,60998,0.491,124232.1792
10021,43631,0.379,115121.372
10040,41905,0.379,110567.2823
10026,34003,0.332,102418.6747
10016,54183,0.532,101847.7444
10005,7135,0.071,100492.9577
10009,61347,0.617,99427.87682
10003,56024,0.576,97263.88889
10030,26999,0.279,96770.60932
10029,76003,0.812,93599.75369
10002,81410,0.878,92722.09567
11372,66636,0.737,90415.19674
10033,53926,0.598,90177.25753
11109,3523,0.04,88075
10032,57331,0.656,87394.81707
10031,56438,0.649,86961.4792
10453,78309,0.916,85490.17467
30609,1956,0.023,85043.47826
10456,86547,1.018,85016.69941
10065,32270,0.382,84476.43979
10010,31834,0.39,81625.64103
11226,101572,1.289,78799.06905
10458,79492,1.009,78782.95342
10011,50984,0.661,77131.61876
29225,1228,0.016,76750
10452,75371,0.989,76209.30233
10022,31924,0.428,74588.78505
10012,24090,0.323,74582.04334
39217,1103,0.015,73533.33333
10468,76103,1.07,71124.29907
11104,27232,0.389,70005.14139
10282,4783,0.069,69318.84058
2113,6915,0.1,69150
10024,59283,0.858,69094.40559
10027,59707,0.869,68707.71001
10037,17416,0.257,67766.53696
10038,20300,0.3,67666.66667
10457,70496,1.061,66442.97832
11373,100820,1.524,66154.85564
11225,56829,0.884,64286.1991
10280,7853,0.124,63330.64516
10472,66358,1.052,63077.94677
10019,42870,0.687,62401.74672
11219,92221,1.482,62227.39541
11213,63767,1.091,58448.21265
10014,31959,0.55,58107.27273
11216,54316,0.935,58091.97861
10459,47308,0.82,57692.68293
11221,78895,1.383,57046.27621
11206,81677,1.434,56957.46165
10036,24711,0.441,56034.01361
10039,24527,0.438,55997.71689
10455,39665,0.712,55709.26966
11220,99598,1.791,55610.27359
10069,5199,0.094,55308.51064
11212,84500,1.538,54941.48244
11103,38780,0.711,54542.89733
23909,2027,0.038,53342.10526
76798,1862,0.035,53200
19383,3169,0.06,52816.66667
11218,75220,1.427,52711.98318
10017,16575,0.317,52287.06625
7087,66515,1.289,51602.01707
10462,75784,1.473,51448.74406
94108,13768,0.27,50992.59259
10044,11661,0.229,50921.39738
11237,49896,0.98,50914.28571
90057,44998,0.886,50787.81038
7093,60884,1.203,50610.14131
10013,27700,0.55,50363.63636
11233,67053,1.348,49742.5816
11355,85871,1.739,49379.52846
11204,78134,1.589,49171.80617
11217,35881,0.751,47777.62983
37240,754,0.016,47125
94109,55984,1.188,47124.57912
11230,86408,1.84,46960.86957
10463,67970,1.449,46908.21256
11374,43600,0.938,46481.87633
94102,31176,0.671,46461.99702
11106,38875,0.857,45361.72695
11238,49262,1.106,44540.68716
10451,45713,1.03,44381.5534
10460,57311,1.315,43582.50951
