ZIP,INCOME
00501,89000
00544,89000
00601,11507
00602,15511
00603,16681
00604,16681
00605,16681
00606,11648
00610,17751
00611,16181
00612,17208
00613,17208
00614,17208
00616,14490
00617,15645
00622,16784
00623,17134
00624,16764
00627,17206
00631,7948
00636,14575
00637,14877
00638,12486
00641,16181
00646,27967
00647,13312
00650,15807
00652,19497
00653,13175
00656,14828
00659,18480
00660,20589
00662,16291
00664,15749
00667,12736
00669,12552
00670,13209
00674,18549
00676,14149
00677,17881
00678,15208
00680,14575
00681,14575
00682,15804
00683,15198
00685,13840
00687,17649
00688,14697
00690,20668
00692,18593
00693,17624
00694,10550
00698,14734
00703,15276
00704,14528
00705,17893
00707,18815
00714,16538
00715,12229
00716,18595
00717,11597
00718,18906
00719,19247
00720,14845
00721,23344
00723,13975
00725,20072
00726,20072
00727,30890
00728,18099
00729,20805
00730,15046
00731,16171
00732,15046
00733,15046
00734,15046
00735,20204
00736,20571
00737,20571
00738,19809
00739,21818
00740,14500
00741,20363
00742,20204
00744,18906
00745,23344
00751,16177
00754,16927
00757,15295
00765,17604
00766,18670
00767,16342
00769,18578
00771,19982
00772,15725
00773,19658
00775,20221
00777,19249
00778,31070
00780,20985
00782,12752
00783,14465
00784,15383
00785,15383
00786,
00791,19269
00792,19269
00794,14785
00795,20459
00801,
00802,
00803,
00804,
00805,
00820,
00821,
00822,
00823,
00824,
00830,
00831,
00840,
00841,
00850,
00851,
00901,16612
00902,16612
00906,
00907,31836
00908,31836
00909,16219
00910,16219
00911,29325
00912,20663
00913,6989
00914,29325
00915,13573
00916,13573
00917,13913
00918,21030
00919,21030
00920,25591
00921,18334
00922,46047
00923,14631
00924,18535
00925,10247
00926,32583
00927,32083
00928,10247
00929,18535
00930,14631
00931,10247
00933,21030
00934,66063
00935,
00936,
00937,35251
00939,21030
00940,16219
00949,25226
00950,
00951,
00952,16577
00953,29793
00954,29793
00955,18334
00956,22432
00957,23886
00958,23886
00959,28215
00960,
00961,28203
00962,15782
00963,15782
00965,15274
00966,50570
00968,46047
00969,53175
00970,53175
00971,20860
00975,13913
00976,30027
00977,30027
00978,30027
00979,35251
00981,35251
00982,25362
00983,27612
00984,27612
00985,24091
00986,24091
00987,31758
00988,31758
01001,56714
01002,48923
01003,2,500-
01004,48923
01005,70568
01007,80502
01008,67250
01009,
01010,83273
01011,74722
01012,60417
01013,40876
01014,40876
01020,57851
01021,57851
01022,44701
01026,50924
01027,61217
01028,83003
01029,54375
01030,64874
01031,39327
01032,73750
01033,86951
01034,82159
01035,62634
01036,80375
01037,80417
01038,65887
01039,74107
01040,38829
01041,38829
01050,72386
01053,66528
01054,86771
01056,64537
01057,74439
01059,48923
01060,56128
01061,56128
01062,73913
01063,
01066,
01068,85052
01069,57994
01070,55208
01071,70938
01072,75658
01073,90318
01074,
01075,61821
01077,76576
01079,31778
01080,51023
01081,51182
01082,52178
01083,45954
01084,68750
01085,63283
01086,
01088,61875
01089,50649
01090,50649
01092,77150
01093,84167
01094,18454
01095,95679
01096,73589
01097,31250
01098,77083
01101,28590
01102,28590
01103,16760
01104,28590
01105,16455
01106,105822
01107,22956
01108,36890
01109,35076
01111,35076
01115,16760
01116,105822
01118,60295
01119,49083
01128,70078
01129,60776
01138,36890
01139,35076
01144,16760
01151,36541
01152,36541
01199,
01201,45893
01202,45893
01203,45893
01220,48422
01222,76944
01223,72981
01224,36324
01225,58145
01226,57202
01227,57202
01229,27083
01230,59702
01235,60718
01236,80385
01237,83311
01238,63109
01240,54250
01242,56840
01243,76250
01244,
01245,66136
01247,38007
01252,59702
01253,71010
01254,89583
01255,67333
01256,49000
01257,50688
01258,65739
01259,61125
01260,101979
01262,45500
01263,45500
01264,75417
01266,68542
01267,73085
01270,71250
01301,49024
01302,49024
01330,79118
01331,51750
01337,65139
01338,66375
01339,51346
01340,54063
01341,89688
01342,102219
01343,83125
01344,61563
01346,56500
01347,39211
01349,60493
01350,31750
01351,81833
01354,74167
01355,68681
01360,63963
01364,37911
01366,65774
01367,50357
01368,67333
01370,54803
01373,71174
01375,53934
01376,41836
01378,56985
01379,44750
01380,44750
01420,50617
01430,86219
01431,89934
01432,77462
01434,54318
01436,77083
01438,70028
01440,46410
01441,46410
01450,117500
01451,140192
01452,84803
01453,56577
01460,108704
01462,89706
01463,84980
01464,68864
01467,131667
01468,62589
01469,81317
01470,117500
01471,117500
01472,117500
01473,96953
01474,98221
01475,61998
01501,71976
01503,97614
01504,75544
01505,93197
01506,63906
01507,92227
01508,92227
01509,92227
01510,60755
01515,80714
01516,88958
01518,53664
01519,114615
01520,99575
01521,75658
01522,102602
01523,97958
01524,60288
01525,82361
01526,99692
01527,72566
01529,91250
01531,81389
01532,110147
01534,95238
01535,70873
01536,94766
01537,76114
01538,90204
01540,60852
01541,121500
01542,94103
01543,95347
01545,99441
01546,99441
01550,48762
01560,80078
01561,
01562,65858
01564,104187
01566,98000
01568,115348
01569,90204
01570,51229
01571,62567
01581,106915
01583,74020
01585,61298
01586,72566
01588,60429
01590,99692
01601,18843
01602,62709
01603,40967
01604,50426
01605,35446
01606,65163
01607,47068
01608,18843
01609,42863
01610,31182
01611,81971
01612,94135
01613,35446
01614,18843
01615,35446
01653,35446
01655,35446
01701,100788
01702,51137
01703,100788
01704,100788
01705,100788
01718,131484
01719,103556
01720,131413
01721,103700
01730,117688
01731,84333
01740,151023
01741,167400
01742,137991
01745,120766
01746,110295
01747,99792
01748,143190
01749,80574
01752,72222
01754,90134
01756,121298
01757,73117
01760,104600
01770,158250
01772,147216
01773,143505
01775,146799
01776,164013
01778,157005
01784,143190
01801,84479
01803,92141
01805,92141
01810,134627
01812,134627
01813,84479
01815,84479
01821,100158
01822,109638
01824,109638
01826,86884
01827,118984
01830,57917
01831,57917
01832,63078
01833,106016
01834,96512
01835,71827
01840,19855
01841,34636
01842,19855
01843,42707
01844,72664
01845,102008
